Glaciaxion.SunsetRay.0	1.0	6.5	12.6
EradicationCatastrophe.NceS.0	3.5	7.5	12.7
Credits.Frums.0	4.5	10.4	13.6	15.7
Dlyrotz.Likey.0	4.0	9.1	13.7
EnginexStartmelodymix.CrossingSound.0	2.5	8.3	13.0
光.姜米條.0	2.0	7.5	12.4
Wintercube.CtymaxfeatNceS.0	3.5	8.2	13.3
Cipher20.TetrajectoryfeatCtymax.0	5.0	10.3	14.4
混乱Confusion.OnlyMyBlackScore.0	4.0	10.0	14.8
FULiAUTOSHOOTER.MYUKKE.0	3.0	9.0	14.9
HumaN.SOTUI.0	3.0	8.0	12.9
PRAW.Bluewind.0	6.0	10.6	15.1
PixelRebelz.Normal1zer.0	4.5	9.7	15.3
Cereris.SunsetRayNceS.0	5.5	10.9	14.7
NonMelodicRagezMUGEdit.Normal1zer.0	5.5	11.6	16.1
SultanRage.MonstDeath.0	4.0	7.0	12.3
ClassMemories.AntistarfeatCtymax.0	6.0	10.8	13.8
SURREALISM.Itsuki.0	5.0	9.4	13.4
BonusTime.MegaloPaleWhite.0	3.5	9.5	13.8
ENERGYSYNERGYMATRIX.Tanchiky.0	5.5	11.5	14.4
NYA.FLuoRiTe姜米條.0	2.0	8.6	13.1
JunXionBetweenLifeAndDeathVIPMix.1N6Fs.0	3.0	8.7	13.4
cryout.JuE.0	3.5	9.9	13.6
Reimei.影虎.0	6.5	11.7	15.1
尊師TheGuru.rider.0	6.0	11.6	15.4
Spasmodic.姜米條颶風元力上人.0	8.2	13.3	15.5	16.7
LeaveAllBehind.rider.0	3.0	8.9	12.7
ColorfulDays.P4koofeatつゆり花鈴.0	5.0	7.0	12.7
microwav.dandeless.0	6.0	10.5	14.7
重生.姜米條.0	4.5	8.8	14.4
NOONEYESMAN.MYUKKE.0	7.0	10.9	15.5
望影の方舟Six.SeURa.0	6.5	11.9	15.9
Igallta.SeURa.0	7.5	12.2	16.1	17.4
ClockParadox.WyvernP.0	2.0	6.0	12.5
Chronologika.Hundotte.0	3.5	9.8	13.9
NickofTime.P4koo.0	6.0	9.3	14.7
Chronomia.Lime.0	4.5	11.1	15.4
ChronosCollapseLaCampanella.SunsetRay.0	4.5	12.3	16.3
Rrharil.TeamGrimoire.0	7.0	12.7	16.1	17.6
CraveWave.LandRoot.0	2.5	8.0	13.7
TheChariotREVIIVAL.Attoclef.0	5.0	9.0	14.0
Luminescence.米虾Fomiki初云CLoudie.0	5.5	11.0	14.5
Retribution.nmyKryexe.0	6.0	11.6	16.2
DESTRUCTION321.Normal1zervsBrokenNerdz.0	8.5	13.1	16.3	17.3
DistortedFate.Sakuzyo.0	8.1	13.5	16.3	17.4
Doppelganger.LeaF.0	5.0	9.0	15.1
もぺもぺ.LeaF.0	2.0	6.5	11.1	15.4
MARENOL.LeaF.0	2.0	10.3	13.9
萤火虫の怨.闫东炜.0	4.0	9.8	13.0
万吨匿名信.闫东炜.0	4.5	9.5	13.3
风屿.闫东炜.0	5.5	9.8	14.0	15.1
dBdoll.YUESTEVENuen.0	1.5	3.5	8.3	13.6
Dash.小红Akane李祥辉.0	2.5	5.5	9.7
云女孩.符白牙SiYFics.0	2.0	8.9	12.8
DropIt.Asuka.0	4.0	9.2	14.2
RIPPER.Friedwav.0	6.5	11.7	15.4
Aphasia.闫东炜.0	4.0	8.8	13.3
开心病.闫东炜.0	7.0	11.9	13.8
華灯爱.闫东炜.0	6.0	10.6	13.7
FindMe.Kforest.0	5.5	10.5	14.3
Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0	5.0	10.1	15.1
狂喜蘭舞.LeaF.0	7.0	11.7	14.3	16.4
SparkleNewLife.rider.0	4.0	9.2	12.8
KhronostasisKatharsis.Halv.0	6.0	11.8	14.0
SnowDesert.WyvernP.0	5.0	10.3	13.4
Burn.NceS.0	7.0	11.2	15.2
Aleph0.LeaF.0	3.5	12.2	16.0
NextTime.SaMZIng.0	6.0	8.7	12.4
RubbishSorting.CtymaxvsNceS.0	3.5	9.4	13.1
AnotherMe.NeutralMoon.0	5.5	9.3	13.6
mechanted.rareguy.0	3.0	11.3	14.9
lifeflashesbeforeweebeyes.BilliumMoto.0	6.5	11.9	14.9
BreakThroughTheBarrier.lixound.0	5.5	9.5	14.5
Chronostasis.黒皇帝.0	6.0	10.7	16.0
DeadSoul.SoundSouler.0	4.5	12.0	14.4
InfinityHeaven.HyuN.0	3.0	8.4	13.9
Disorder.HyuNfeatYURI.0	6.0	10.3	14.8
CROSSSOUL.HyuNfeatSyepias.0	7.5	12.6	16.4
SpeedUp.DarTokki.0	4.5	10.3	14.0
MagentaPotion.EmoCo.0	6.5	11.3	14.4
GetBack.CAP3.0	6.5	10.7	14.0
Palescreen.WyvernPfeatMadol.0	5.5	12.3	15.9
GOODTEK.EBIMAYO.0	5.0	10.0	14.3
GOODBOUNCE.EBIMAYO.0	7.5	11.9	14.5
GOODWORLD.EBIMAYO.0	3.0	11.4	14.9
GOODFORTUNE.EBIMAYO.0	7.5	8.7	15.7
GOODRAGE.EBIMAYO.0	5.0	8.5	16.0
TheMountainEater.PaulBazooka.0	5.5	9.6	14.7
Orthodox.tokiwa.0	4.5	8.5	13.7
EndMe.ZxNXasDelaina.0	5.5	7.5	14.2
ParallelRetrogressionGameVer.Tetrajectory.0	7.0	10.9	14.2
Starduster.Quree.0	5.5	11.4	15.2
Electron.ElousFZ.0	3.5	9.4	13.2
SIGMA.Kryexe.0	5.0	10.5	15.8
HardcoreKwaya.EnFr.0	4.5	8.4	14.6
Aventyr.GrandThawRigelTheatre.0	3.5	9.9	13.7
Trane.MALVA.0	1.5	7.0	14.2
雪降りメリクリ.A39.0	4.5	10.8	15.4
CervelleConnexion.SCTL.0	5.0	11.3	14.5
modulus.PTB10.0	4.5	10.4	14.9
Wavetapper.Frums.0	6.0	9.4	13.9
大和撫子WildDances.adapatorvsDRIVE.0	5.5	11.8	15.1
Eltaw.Fl00t.0	7.0	10.6	14.8
Initialize.iF.0	2.5	7.0	11.6
桜樹街道.kozatosnow.0	3.5	8.1	13.0
GetReady.iF.0	6.0	10.7	13.8
volcanic.DETROakaルゼ.0	7.5	12.1	14.7	16.6
BetterGraphicAnimation.ルゼ.0	6.0	11.1	15.3
XING.ginkiha.0	5.5	9.9	13.9
FinalStep.Lime.0	5.5	11.0	14.1
Cthugha.USAO.0	6.0	10.4	16.0	16.1
WithYou.Cashew.0	3.5	9.1	13.5
UnorthodoxThoughts.Joulez.0	5.5	12.0	13.9
Apocalyptic.ZClaxxSumaiLight.0	3.0	10.4	13.8
游园地.椒盐菠萝.0	2.5	7.5	13.2
energytrixxx.KAH.0	5.0	10.4	15.4
Nhelv.Silentroom.0	1.5	12.0	15.6
Arkhei.SeraAmagi.0	7.5	8.8	12.6
Kerberos.Zris.0	5.5	12.4	15.8
parsey.siqlo.0	4.0	11.7	14.6
Concvssion.Halv.0	6.0	11.3	15.6
ジングルベルJingleBell.A39沙包P.0	4.5	8.5	14.5
TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0	3.0	10.1	13.6
HAZARD.Limpid.0	4.5	11.0	14.8
AnotherMe.DAAN.0	5.0	9.8	15.6
DontNeverAround.HAMA.0	5.0	11.3	15.5
RESSiSTANCE.ぐるたみん.0	6.5	11.2	16.1
Dreamland.z1onkyrrin.0	7.0	10.3	13.6
AnotherRound.JustinDai.0	2.5	9.6	13.3
996.李化禹.0	4.0	9.4	14.7
FutureMind.RayNauticaRekuMochizuki.0	4.5	11.0	14.2
Luminescent.Daison.0	5.5	9.7	14.4
FULiAUTOBUSTER.MYUKKE.0	3.5	9.7	14.6
IMustSayNo.TangJuan.0	1.5	9.2	13.5
opia.rN.0	5.5	10.6	15.6
Apocalypse.アリスシャッハと魔法の楽団.0	4.0	8.6	13.5
Protoflicker.Silentroom.0	3.5	9.7	15.4
HorizonBlue.NothingButRequiemfeatAikapinChiyoko.0	6.5	11.6	15.7
YouaretheMiserable.tpazolite.0	6.0	11.7	14.1	15.8
Stasis.Maozon.0	5.0	10.1	15.3	16.7
いざ参ります.Uskefeat棗いつき.0	3.5	9.2	15.0
月下缭乱.月見静華vsLUNARiUM.0	4.5	9.4	14.9
OnAndOn.ETIAfeatJenga.0	5.0	9.6	15.2
DataErr0r.Cosmograph.0	6.0	11.8	14.5
Shadow.SumaiLightvs姜米條.0	6.5	10.5	14.6	16.2
心之所向.姜米條.0	4.0	8.2	13.6
inferior.姜米條.0	7.0	7.5	14.6
csqn.Aoi.0	5.0	12.2	15.9
BraveNotes.TurquoiseDRIVENota.0	5.5	11.4	14.6
盏茗.茶鸣拾贰律.0	1.5	4.5	13.4
青芽.茶鸣拾贰律.0	5.0	10.4	15.2
EternalSnow.AbyssIdols.0	4.0	9.6	13.5
RainySeason.AbyssIdols.0	5.5	10.7	14.2
ElCondorPasaPhigrosEdit.PlasticFruits.0	6.5	12.5	15.6
BreakOver.Kforest.0	5.0	11.5	14.1	14.9
BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦.0	2.5	8.9	14.6
Pontdessouvenirs.VeetaCrushvsitsufeatitsu.0	5.5	10.7	15.3
青丘.BLACK0.0	5.5	10.5	15.5
瓷岁.茶鸣拾贰律.0	2.0	6.5	7.0
Feast远东之宴.茶鸣拾贰律.0	6.5	12.1	15.5
インフェルノシティ.Ponchifeatはぁち.0	4.5	11.5	15.7
Upshift.Iriss-Frantzz.0	6.0	10.8	15.5
PoisonANDORAffection.LeaF.0	3.5	9.9	15.7
Random.SobremSilentroom.0	5.5	12.2	14.7
零號車輛.seatrus.0	7.5	12.1	16.2
NowIsTheTimeDoIt.RoyMikelate.0	4.5	11.2	14.3
Bougainvillea.Jade.0	4.0	8.3	13.2
